COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_id,bigint unsigned,×,×,×,○,×,×,beauticians,id
expenditure_item_id,bigint unsigned,×,×,×,○,×,×,expenditure_items,id
contract_start_at,datetime,×,○,×,×,×,×,,
contract_end_at,datetime,×,○,×,×,×,×,,
note,text,×,○,×,×,×,×,,
is_cancel,tinyint(1),×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
latest_beautician_invoice_id,bigint unsigned,×,○,×,○,×,×,beautician_invoices,id
