COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_id,bigint unsigned,×,×,×,○,×,×,beauticians,id
operator_id,bigint unsigned,×,○,×,○,×,×,operators,id
inquiry_topic_id,bigint unsigned,×,○,×,○,×,×,inquiry_topics,id
title,varchar(254),×,○,×,×,×,×,,
status,"enum('waiting','in_progress','completed')",×,×,×,×,×,×,,
read_at,timestamp,×,×,×,×,×,×,,
last_post_operator_id,int unsigned,×,○,×,○,×,×,,
last_post,varchar(3000),×,○,×,×,×,×,,
last_post_at,timestamp,×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
inquiry_category_id,bigint unsigned,×,○,×,○,×,×,inquiry_categories,id
