COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
invoice_at,datetime,×,×,×,×,×,×,,
beautician_expenditure_item_id,bigint unsigned,×,×,×,○,×,×,beautician_expenditure_items,id
beautician_payment_id,bigint unsigned,×,○,×,○,×,×,beautician_payments,id
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
price,int,×,×,×,×,×,×,,
full_name,varchar(255),×,○,×,×,×,×,,
full_name_ruby,varchar(255),×,○,×,×,×,×,,
salon_name,varchar(255),×,○,×,×,×,×,,
salon_id,bigint unsigned,×,○,×,○,×,×,salons,id
seat_name,varchar(255),×,○,×,×,×,×,,
payment_detail_id,tinyint,×,○,×,×,×,×,,
payment_detail,varchar(255),×,○,×,×,×,×,,
is_authenticating,tinyint(1),×,×,×,×,×,×,,
is_cansel,tinyint(1),×,×,×,×,×,×,,
