COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_id,bigint unsigned,×,×,×,○,×,×,beauticians,id
beautician_scheduled_notification_id,bigint unsigned,×,○,×,○,×,×,beautician_scheduled_notifications,id
title,varchar(100),×,○,×,×,×,×,,
content,text,×,○,×,×,×,×,,
is_important,tinyint(1),×,×,×,×,×,×,,
is_campaign,tinyint(1),×,×,×,×,×,×,,
is_news,tinyint(1),×,×,×,×,×,×,,
filename_1,varchar(255),×,○,×,×,×,×,,
filename_2,varchar(255),×,○,×,×,×,×,,
filename_3,varchar(255),×,○,×,×,×,×,,
filename_4,varchar(255),×,○,×,×,×,×,,
filename_5,varchar(255),×,○,×,×,×,×,,
is_read,tinyint(1),×,×,×,×,×,×,,
is_contract_conclusion,tinyint(1),×,×,×,×,×,×,,
reservation_id,bigint unsigned,×,○,×,○,×,×,reservations,id
deleted_at,timestamp,×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
