COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_id,bigint unsigned,×,×,×,○,×,×,beauticians,id
salon_id,bigint unsigned,×,○,×,○,×,×,salons,id
working_share_salon_id,bigint unsigned,×,○,×,○,×,×,beautician_working_share_salons,id
occupation_id,bigint unsigned,×,○,×,○,×,×,occupations,id
customer_id,bigint unsigned,×,○,×,○,×,×,customers,id
customer_full_name,varchar(255),×,○,×,×,×,×,,
is_customer_app_user,tinyint(1),×,×,×,×,×,×,,
sales,"decimal(8,2)",×,×,×,×,×,×,,
use_point,int unsigned,×,×,×,×,×,×,,
payment_at,timestamp,×,○,×,×,×,×,,
payment_type_id,varchar(255),×,○,×,×,×,×,,
payment_content,text,×,○,×,×,×,×,,
is_smaregi,tinyint(1),×,×,×,×,×,×,,
payjp_charge_id,varchar(255),×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
deleted_at,timestamp,×,○,×,×,×,×,,
full_name,varchar(255),×,○,×,×,×,×,,
full_name_ruby,varchar(255),×,○,×,×,×,×,,
salon_name,varchar(255),×,○,×,×,×,×,,
seat_name,varchar(255),×,○,×,×,×,×,,
member_type_id,tinyint,×,○,×,×,×,×,,
is_cansel,tinyint(1),×,×,×,×,×,×,,
transaction_id,varchar(255),×,○,×,×,×,×,,
salon_seat_id,bigint unsigned,×,○,×,○,×,×,salon_seats,id
