COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_id,bigint unsigned,×,×,×,○,×,×,beauticians,id
salon_id,bigint unsigned,×,×,×,○,×,×,salons,id
room_id,bigint unsigned,×,○,×,○,×,×,rooms,id
salon_seat_id,bigint unsigned,×,○,×,○,×,×,salon_seats,id
member_type_id,tinyint,×,×,×,×,×,×,,
contract_pdf,varchar(255),×,○,×,×,×,×,,
contract_start_at,datetime,×,○,×,×,×,×,,
contract_end_at,datetime,×,○,×,×,×,×,,
examination_status,tinyint,×,×,×,×,×,×,,
examination_at,datetime,×,○,×,×,×,×,,
contract_status,tinyint,×,×,×,×,×,×,,
is_contract_send,tinyint(1),×,○,×,×,×,×,,
beautician_expenditure_item_id,int,×,○,×,×,×,×,,
change_source_beautician_salon_id,int,×,○,×,×,×,×,,
is_exclusion_fee,tinyint(1),×,○,×,×,×,×,,
note,text,×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
deleted_at,timestamp,×,○,×,×,×,×,,
examination_result_id,int,×,×,×,×,×,×,,
