COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
reservation_id,bigint unsigned,×,×,×,○,×,×,reservations,id
trouble_and_hope,text,×,○,×,×,×,×,,
condition_and_treatment,text,×,○,×,×,×,×,,
conversation_memo,text,×,○,×,×,×,×,,
message,text,×,○,×,×,×,×,,
chart_image1,varchar(255),×,○,×,×,×,×,,
chart_image2,varchar(255),×,○,×,×,×,×,,
chart_image3,varchar(255),×,○,×,×,×,×,,
chart_image4,varchar(255),×,○,×,×,×,×,,
chart_image5,varchar(255),×,○,×,×,×,×,,
chart_image6,varchar(255),×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
