COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
first_name,varchar(255),×,○,×,×,×,×,,
first_name_ruby,varchar(255),×,○,×,×,×,×,,
last_name,varchar(255),×,○,×,×,×,×,,
last_name_ruby,varchar(255),×,○,×,×,×,×,,
nickname,varchar(255),×,○,×,×,×,×,,
firebase_uid,varchar(255),×,○,×,×,×,×,,
fcm_token,varchar(255),×,○,×,×,×,×,,
email,varchar(255),×,○,×,×,×,×,,
customer_image,varchar(255),×,○,×,×,×,×,,
birthday,date,×,○,×,×,×,×,,
sex,char(1),×,○,×,×,×,×,,
zip_cd,varchar(255),×,○,×,×,×,×,,
prefecture_id,bigint unsigned,×,○,×,○,×,×,prefectures,id
city,varchar(50),×,○,×,×,×,×,,
street_address,varchar(500),×,○,×,×,×,×,,
phone,varchar(30),×,○,×,×,×,×,,
job,varchar(50),×,○,×,×,×,×,,
hobby,text,×,○,×,×,×,×,,
motivation_visit,text,×,○,×,×,×,×,,
self_introduction,text,×,○,×,×,×,×,,
free_memo,text,×,○,×,×,×,×,,
is_favorite,tinyint(1),×,×,×,×,×,×,,
last_visit_date,date,×,○,×,×,×,×,,
first_treatment_date,date,×,○,×,×,×,×,,
point_balance,int unsigned,×,×,×,×,×,×,,
point_expire_date,date,×,○,×,×,×,×,,
pay_jp_id,varchar(255),×,○,×,×,×,×,,
invitation_code,varchar(255),×,○,×,×,×,×,,
invitation_link,varchar(255),×,○,×,×,×,×,,
is_suspended,tinyint(1),×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
deleted_at,timestamp,×,○,×,×,×,×,,
