COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
menu_name,varchar(255),×,×,×,×,×,×,,
price,bigint unsigned,×,×,×,×,×,×,,
price_type,tinyint,×,×,×,×,×,×,,
treatment_time,int,×,○,×,×,×,×,,
explanation,text,×,○,×,×,×,×,,
sort,tinyint,×,×,×,×,×,×,,
is_public,tinyint(1),×,○,×,×,×,×,,
is_search_target,tinyint(1),×,×,×,×,×,×,,
image_url,varchar(255),×,○,×,×,×,×,,
checklist,text,×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
deleted_at,timestamp,×,○,×,×,×,×,,
menu_category_id,bigint unsigned,×,○,×,○,×,×,menu_categories,id
