COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
user_id,bigint unsigned,×,○,×,○,×,×,,
name,varchar(255),×,×,×,×,×,×,,
secret,varchar(100),×,○,×,×,×,×,,
provider,varchar(255),×,○,×,×,×,×,,
redirect,text,×,×,×,×,×,×,,
personal_access_client,tinyint(1),×,×,×,×,×,×,,
password_client,tinyint(1),×,×,×,×,×,×,,
revoked,tinyint(1),×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
