COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
salon_group_id,bigint unsigned,×,○,×,○,×,×,salon_groups,id
name,varchar(100),×,×,×,×,×,×,,
display_name,varchar(100),×,×,×,×,×,×,,
email,varchar(255),×,×,○,○,○,×,,
password,varchar(100),×,×,×,×,×,×,,
failed_count_login,int,×,×,×,×,×,×,,
locked,tinyint(1),×,×,×,×,×,×,,
is_master,tinyint(1),×,○,×,×,×,×,,
firebase_uid,varchar(255),×,○,×,×,×,×,,
can_contact_beautician_read,tinyint(1),×,○,×,×,×,×,,
can_contact_beautician_export,tinyint(1),×,○,×,×,×,×,,
can_contact_beautician_update,tinyint(1),×,○,×,×,×,×,,
can_contact_beautician_delete,tinyint(1),×,○,×,×,×,×,,
can_chat_read,tinyint(1),×,○,×,×,×,×,,
can_chat_export,tinyint(1),×,○,×,×,×,×,,
can_chat_update,tinyint(1),×,○,×,×,×,×,,
can_chat_delete,tinyint(1),×,○,×,×,×,×,,
can_chat_salon_group_read,tinyint(1),×,○,×,×,×,×,,
can_chat_salon_group_export,tinyint(1),×,○,×,×,×,×,,
can_chat_salon_group_update,tinyint(1),×,○,×,×,×,×,,
can_chat_salon_group_delete,tinyint(1),×,○,×,×,×,×,,
can_chat_customer_read,tinyint(1),×,○,×,×,×,×,,
can_chat_customer_export,tinyint(1),×,○,×,×,×,×,,
can_chat_customer_update,tinyint(1),×,○,×,×,×,×,,
can_chat_beautician_new,tinyint(1),×,○,×,×,×,×,,
can_notice_beautician_read,tinyint(1),×,○,×,×,×,×,,
can_notice_beautician_export,tinyint(1),×,○,×,×,×,×,,
can_notice_beautician_update,tinyint(1),×,○,×,×,×,×,,
can_notice_beautician_delete,tinyint(1),×,○,×,×,×,×,,
can_notice_salon_group_read,tinyint(1),×,○,×,×,×,×,,
can_notice_salon_group_export,tinyint(1),×,○,×,×,×,×,,
can_notice_salon_group_update,tinyint(1),×,○,×,×,×,×,,
can_notice_salon_group_delete,tinyint(1),×,○,×,×,×,×,,
can_notice_customer_read,tinyint(1),×,○,×,×,×,×,,
can_notice_customer_export,tinyint(1),×,○,×,×,×,×,,
can_notice_customer_update,tinyint(1),×,○,×,×,×,×,,
can_notice_customer_delete,tinyint(1),×,○,×,×,×,×,,
can_event_seminar_read,tinyint(1),×,○,×,×,×,×,,
can_event_seminar_export,tinyint(1),×,○,×,×,×,×,,
can_event_seminar_update,tinyint(1),×,○,×,×,×,×,,
can_event_seminar_delete,tinyint(1),×,○,×,×,×,×,,
can_contractor_read,tinyint(1),×,○,×,×,×,×,,
can_contractor_export,tinyint(1),×,○,×,×,×,×,,
can_contractor_update,tinyint(1),×,○,×,×,×,×,,
can_contractor_delete,tinyint(1),×,○,×,×,×,×,,
can_dashboard_read,tinyint(1),×,○,×,×,×,×,,
can_dashboard_update,tinyint(1),×,○,×,×,×,×,,
can_dashboard_delete,tinyint(1),×,○,×,×,×,×,,
can_earnings_read,tinyint(1),×,○,×,×,×,×,,
can_earnings_export,tinyint(1),×,○,×,×,×,×,,
can_earnings_update,tinyint(1),×,○,×,×,×,×,,
can_earnings_delete,tinyint(1),×,○,×,×,×,×,,
can_beautician_read,tinyint(1),×,○,×,×,×,×,,
can_beautician_export,tinyint(1),×,○,×,×,×,×,,
can_beautician_update,tinyint(1),×,○,×,×,×,×,,
can_beautician_delete,tinyint(1),×,○,×,×,×,×,,
can_customer_read,tinyint(1),×,○,×,×,×,×,,
can_customer_export,tinyint(1),×,○,×,×,×,×,,
can_customer_update,tinyint(1),×,○,×,×,×,×,,
can_customer_delete,tinyint(1),×,○,×,×,×,×,,
can_reservation_read,tinyint(1),×,○,×,×,×,×,,
can_reservation_export,tinyint(1),×,○,×,×,×,×,,
can_reservation_update,tinyint(1),×,○,×,×,×,×,,
can_reservation_delete,tinyint(1),×,○,×,×,×,×,,
can_team_read,tinyint(1),×,○,×,×,×,×,,
can_team_export,tinyint(1),×,○,×,×,×,×,,
can_team_update,tinyint(1),×,○,×,×,×,×,,
can_team_delete,tinyint(1),×,○,×,×,×,×,,
can_salon_read,tinyint(1),×,○,×,×,×,×,,
can_salon_export,tinyint(1),×,○,×,×,×,×,,
can_salon_update,tinyint(1),×,○,×,×,×,×,,
can_salon_delete,tinyint(1),×,○,×,×,×,×,,
can_money_transfer_read,tinyint(1),×,○,×,×,×,×,,
can_money_transfer_export,tinyint(1),×,○,×,×,×,×,,
can_money_transfer_update,tinyint(1),×,○,×,×,×,×,,
can_money_transfer_delete,tinyint(1),×,○,×,×,×,×,,
can_smart_lock_read,tinyint(1),×,○,×,×,×,×,,
can_smart_lock_export,tinyint(1),×,○,×,×,×,×,,
can_smart_lock_update,tinyint(1),×,○,×,×,×,×,,
can_smart_lock_delete,tinyint(1),×,○,×,×,×,×,,
can_product_read,tinyint(1),×,○,×,×,×,×,,
can_product_export,tinyint(1),×,○,×,×,×,×,,
can_product_update,tinyint(1),×,○,×,×,×,×,,
can_product_delete,tinyint(1),×,○,×,×,×,×,,
can_tag_trend_read,tinyint(1),×,○,×,×,×,×,,
can_tag_trend_update,tinyint(1),×,○,×,×,×,×,,
can_tag_trend_delete,tinyint(1),×,○,×,×,×,×,,
can_report_read,tinyint(1),×,○,×,×,×,×,,
can_report_update,tinyint(1),×,○,×,×,×,×,,
can_news_read,tinyint(1),×,○,×,×,×,×,,
can_news_update,tinyint(1),×,○,×,×,×,×,,
can_news_delete,tinyint(1),×,○,×,×,×,×,,
can_operator_read,tinyint(1),×,○,×,×,×,×,,
can_operator_export,tinyint(1),×,○,×,×,×,×,,
can_operator_update,tinyint(1),×,○,×,×,×,×,,
can_operator_delete,tinyint(1),×,○,×,×,×,×,,
can_other_read,tinyint(1),×,○,×,×,×,×,,
can_other_export,tinyint(1),×,○,×,×,×,×,,
can_other_update,tinyint(1),×,○,×,×,×,×,,
can_other_delete,tinyint(1),×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
notification_new_contract,tinyint(1),×,○,×,×,×,×,,
notification_contact_beautician,tinyint(1),×,○,×,×,×,×,,
notification_chat,tinyint(1),×,○,×,×,×,×,,
