COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
customer_id,bigint unsigned,×,×,×,○,×,×,customers,id
beautician_id,bigint unsigned,×,×,×,○,×,×,beauticians,id
reservation_id,bigint unsigned,×,×,×,○,×,×,reservations,id
technical_and_finish_satisfaction,tinyint,×,×,×,×,×,×,,
reservation_response_satisfaction,tinyint,×,×,×,×,×,×,,
service_satisfaction,tinyint,×,×,×,×,×,×,,
average_score,"double(8,2)",×,○,×,×,×,×,,
message,varchar(255),×,○,×,×,×,×,,
reply,varchar(255),×,○,×,×,×,×,,
reply_at,datetime,×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
