COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
name,varchar(255),×,×,×,×,×,×,,
representative_name,varchar(255),×,○,×,×,×,×,,
company_organization_name,varchar(255),×,○,×,×,×,×,,
prefecture_id,int,×,○,×,×,×,×,,
address,varchar(500),×,○,×,×,×,×,,
document_destination_address,varchar(500),×,○,×,×,×,×,,
phone,varchar(30),×,○,×,×,×,×,,
email,varchar(255),×,○,○,○,○,×,,
deleted_at,timestamp,×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
