COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
user_id,bigint unsigned,×,×,×,○,×,×,,
name,varchar(255),×,×,×,×,×,×,,
stripe_id,varchar(255),×,×,○,○,○,×,,
stripe_status,varchar(255),×,×,×,○,×,×,,
stripe_price,varchar(255),×,○,×,×,×,×,,
quantity,int,×,○,×,×,×,×,,
trial_ends_at,timestamp,×,○,×,×,×,×,,
ends_at,timestamp,×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
