COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
beautician_id,bigint unsigned,○,×,×,○,×,×,beauticians,id
customer_id,bigint unsigned,○,×,×,○,×,×,customers,id
latest_reservation_id,bigint unsigned,×,○,×,○,×,×,reservations,id
beautician_customer_chat_id,bigint unsigned,×,○,×,○,×,×,beautician_customer_chats,id
is_favorite_from_beautician,tinyint(1),×,×,×,×,×,×,,
is_favorite_from_customer,tinyint(1),×,×,×,×,×,×,,
is_block_from_customer,tinyint(1),×,×,×,×,×,×,,
is_my_beautician,tinyint(1),×,×,×,×,×,×,,
is_matching_commission_free,tinyint(1),×,×,×,×,×,×,,
customer_favorited_at,datetime,×,○,×,×,×,×,,
free_memo,varchar(255),×,○,×,×,×,×,,
last_visit_date,date,×,○,×,×,×,×,,
first_visit_date,date,×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
