COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_read_at,timestamp,×,○,×,×,×,×,,
customer_read_at,timestamp,×,○,×,×,×,×,,
last_post,varchar(3000),×,○,×,×,×,×,,
beautician_first_post_at,timestamp,×,○,×,×,×,×,,
beautician_last_post_at,timestamp,×,○,×,×,×,×,,
customer_first_post_at,timestamp,×,○,×,×,×,×,,
customer_last_post_at,timestamp,×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
