COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_notification_template_id,bigint unsigned,×,○,×,○,×,×,beautician_notification_templates,id
operator_id,bigint unsigned,×,○,×,○,×,×,operators,id
title,varchar(100),×,○,×,×,×,×,,
content,text,×,○,×,×,×,×,,
is_important,tinyint(1),×,×,×,×,×,×,,
is_campaign,tinyint(1),×,×,×,×,×,×,,
is_news,tinyint(1),×,×,×,×,×,×,,
filename_1,varchar(255),×,○,×,×,×,×,,
filename_2,varchar(255),×,○,×,×,×,×,,
filename_3,varchar(255),×,○,×,×,×,×,,
filename_4,varchar(255),×,○,×,×,×,×,,
filename_5,varchar(255),×,○,×,×,×,×,,
scheduled_at,datetime,×,○,×,×,×,×,,
sent_at,datetime,×,○,×,×,×,×,,
sent_count,bigint,×,○,×,×,×,×,,
is_draft,tinyint(1),×,×,×,×,×,×,,
memo,varchar(255),×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
