COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
first_name,varchar(255),×,○,×,×,×,×,,
first_name_ruby,varchar(255),×,○,×,×,×,×,,
last_name,varchar(255),×,○,×,×,×,×,,
last_name_ruby,varchar(255),×,○,×,×,×,×,,
nickname,varchar(255),×,○,×,×,×,×,,
firebase_uid,varchar(255),×,×,×,×,×,×,,
fcm_token,varchar(255),×,○,×,×,×,×,,
email,varchar(255),×,○,○,○,○,×,,
email_verified_at,timestamp,×,○,×,×,×,×,,
birthday,date,×,○,×,×,×,×,,
zip_cd,varchar(255),×,○,×,×,×,×,,
prefecture_id,int,×,○,×,×,×,×,,
city,varchar(255),×,○,×,×,×,×,,
address,varchar(500),×,○,×,×,×,×,,
balance,bigint,×,×,×,×,×,×,,
cumulative_sales,int unsigned,×,×,×,×,×,×,,
beautician_image,varchar(255),×,○,×,×,×,×,,
sex,char(1),×,○,×,×,×,×,,
phone,varchar(30),×,○,×,×,×,×,,
rank_id,bigint unsigned,×,○,×,○,×,×,ranks,id
good_skill,text,×,○,×,×,×,×,,
self_introduction,text,×,○,×,×,×,×,,
operation_memo,text,×,○,×,×,×,×,,
beautician_license_image,varchar(255),×,○,×,×,×,×,,
management_beautician_license_image,varchar(255),×,○,×,×,×,×,,
barber_license_image,varchar(255),×,○,×,×,×,×,,
management_barber_license_image,varchar(255),×,○,×,×,×,×,,
other_license_image,varchar(255),×,○,×,×,×,×,,
identification_front_image,varchar(255),×,○,×,×,×,×,,
identification_back_image,varchar(255),×,○,×,×,×,×,,
guarantor_identification_image,varchar(255),×,○,×,×,×,×,,
is_share_salon_member,tinyint(1),×,×,×,×,×,×,,
pay_jp_id,varchar(255),×,○,×,×,×,×,,
email_is_being_changed,tinyint(1),×,×,×,×,×,×,,
point_balance,int unsigned,×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
deleted_at,timestamp,×,○,×,×,×,×,,
alligate_id,varchar(255),×,○,×,×,×,×,,
alligate_password,varchar(255),×,○,×,×,×,×,,
is_suspended,tinyint(1),×,×,×,×,×,×,,
health_care_center_registed_at,timestamp,×,○,×,×,×,×,,
health_care_center_released_at,timestamp,×,○,×,×,×,×,,
line_id,varchar(20),×,○,×,×,×,×,,
app_member_registed_at,datetime,×,○,×,×,×,×,,
share_salon_member_registed_at,datetime,×,○,×,×,×,×,,
invitation_code,varchar(255),×,○,×,×,×,×,,
invitation_link,varchar(255),×,○,×,×,×,×,,
introduction_link,varchar(255),×,○,×,×,×,×,,
cautions,varchar(255),×,○,×,×,×,×,,
is_public,tinyint(1),×,○,×,×,×,×,,
is_search_target,tinyint(1),×,○,×,×,×,×,,
hobby,varchar(255),×,○,×,×,×,×,,
achievement_qualification,varchar(255),×,○,×,×,×,×,,
good_style,varchar(255),×,○,×,×,×,×,,
is_bring_children,tinyint(1),×,○,×,×,×,×,,
other,varchar(255),×,○,×,×,×,×,,
business_name,varchar(255),×,○,×,×,×,×,,
business_registration_number,varchar(255),×,○,×,×,×,×,,
business_phone,varchar(30),×,○,×,×,×,×,,
business_prefecture_id,bigint unsigned,×,○,×,○,×,×,prefectures,id
business_city,varchar(255),×,○,×,×,×,×,,
business_address,varchar(500),×,○,×,×,×,×,,
