COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
salon_id,bigint unsigned,×,×,×,○,×,×,salons,id
expenditure_item_id,bigint unsigned,×,×,×,○,×,×,expenditure_items,id
beauty_equipment_category_id,bigint unsigned,×,×,×,○,×,×,beauty_equipment_categories,id
name,varchar(255),×,×,×,×,×,×,,
max_available_time,int unsigned,×,×,×,×,×,×,,
information,text,×,○,×,×,×,×,,
image,varchar(255),×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
