COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
expenditure_category_id,bigint unsigned,×,×,×,×,×,×,,
name,varchar(255),×,×,×,×,×,×,,
price,bigint unsigned,×,×,×,×,×,×,,
salon_id,bigint unsigned,×,○,×,×,×,×,,
expenditure_type_id,tinyint,×,○,×,×,×,×,,
is_holiday_price,tinyint,×,○,×,×,×,×,,
locker_id,varchar(255),×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
