COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
occupation_name,varchar(255),×,×,×,×,×,×,,
occupation_image,varchar(255),×,×,×,×,×,×,,
label,varchar(255),×,○,×,×,×,×,,
can_select_customer,tinyint(1),×,×,×,×,×,×,,
is_required_beautician_license_image,tinyint(1),×,×,×,×,×,×,,
is_required_barber_license_image,tinyint(1),×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
sort,tinyint,×,○,×,×,×,×,,
occupation_tag_group_id,bigint unsigned,×,×,×,○,×,×,occupation_tag_groups,id
