COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_id,bigint unsigned,×,×,×,○,×,×,beauticians,id
all,tinyint,×,×,×,×,×,×,,
customer_arrive_at_salon,tinyint,×,×,×,×,×,×,,
temporary_reservation_from_customer,tinyint,×,×,×,×,×,×,,
chat_from_customer,tinyint(1),×,×,×,×,×,×,,
reservation_cancel_from_customer,tinyint,×,×,×,×,×,×,,
post_review_from_customer,tinyint,×,×,×,×,×,×,,
reservation_date,tinyint,×,×,×,×,×,×,,
event_and_seminar_date,tinyint(1),×,×,×,×,×,×,,
shift_time,tinyint,×,×,×,×,×,×,,
notice,tinyint,×,×,×,×,×,×,,
income,tinyint,×,×,×,×,×,×,,
payment,tinyint,×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
