COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
master_operator_id,int unsigned,×,○,×,○,×,×,,
external_operator_id,int unsigned,×,×,×,○,×,×,,
last_post_master_operator_id,int unsigned,×,○,×,○,×,×,,
last_post_external_operator_id,int unsigned,×,○,×,○,×,×,,
salon_group_inquiry_category_id,int unsigned,×,○,×,○,×,×,,
salon_id,int unsigned,×,○,×,○,×,×,,
post,varchar(3000),×,○,×,×,×,×,,
status,"enum('waiting','in_progress','completed')",×,×,×,×,×,×,,
is_external_operator_read,tinyint(1),×,×,×,×,×,×,,
last_post_at,timestamp,×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
