COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
salon_group_id,bigint unsigned,×,○,×,○,×,×,salon_groups,id
name,varchar(255),×,×,×,×,×,×,,
is_accepting,tinyint,×,×,×,×,×,×,,
phone,varchar(30),×,○,×,×,×,×,,
zip_code,varchar(10),×,○,×,×,×,×,,
prefecture_id,int,×,×,×,×,×,×,,
city,varchar(255),×,×,×,×,×,×,,
address,varchar(500),×,○,×,×,×,×,,
nearest_station,varchar(255),×,○,×,×,×,×,,
latitude,"double(20,17)",×,○,×,×,×,×,,
longitude,"double(20,17)",×,○,×,×,×,×,,
manager_name,varchar(30),×,○,×,×,×,×,,
salon_image,varchar(255),×,○,×,×,×,×,,
working_share_salon_image1,varchar(255),×,○,×,×,×,×,,
working_share_salon_image2,varchar(255),×,○,×,×,×,×,,
working_share_salon_image3,varchar(255),×,○,×,×,×,×,,
layout,varchar(255),×,○,×,×,×,×,,
share_seat_max_limit,int,×,○,×,×,×,×,,
opening_time,time,×,×,×,×,×,×,,
closing_time,time,×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
deleted_at,timestamp,×,○,×,×,×,×,,
smaregi_store_id,varchar(255),×,○,×,×,×,×,,
smaregi_terminal_id,varchar(255),×,○,×,×,×,×,,
