COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
shift_id,bigint unsigned,×,×,×,○,×,×,shifts,id
repeat_end_date,date,×,○,×,×,×,×,,
repeat_type,tinyint,×,×,×,×,×,×,,
repeat_interval,tinyint,×,○,×,×,×,×,,
is_repeat_sunday,tinyint(1),×,×,×,×,×,×,,
is_repeat_monday,tinyint(1),×,×,×,×,×,×,,
is_repeat_tuesday,tinyint(1),×,×,×,×,×,×,,
is_repeat_wednesday,tinyint(1),×,×,×,×,×,×,,
is_repeat_thursday,tinyint(1),×,×,×,×,×,×,,
is_repeat_friday,tinyint(1),×,×,×,×,×,×,,
is_repeat_saturday,tinyint(1),×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
