COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
name,varchar(255),×,×,×,×,×,×,,
email,varchar(255),×,×,○,○,○,×,,
email_verified_at,timestamp,×,○,×,×,×,×,,
password,varchar(255),×,×,×,×,×,×,,
two_factor_secret,text,×,○,×,×,×,×,,
two_factor_recovery_codes,text,×,○,×,×,×,×,,
remember_token,varchar(100),×,○,×,×,×,×,,
current_team_id,bigint unsigned,×,○,×,×,×,×,,
profile_photo_path,varchar(2048),×,○,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
stripe_id,varchar(255),×,○,×,○,×,×,,
pm_type,varchar(255),×,○,×,×,×,×,,
pm_last_four,varchar(4),×,○,×,×,×,×,,
trial_ends_at,timestamp,×,○,×,×,×,×,,
